Title,URL,PostDate,Description,
Wired: Get Ready for the Great AI Disappointment,https://mcguinnessai.substack.com/p/wired-get-ready-for-the-great-ai,2024-01-14T11:01:08.746Z,"An opinion piece worth reading: https://www.wired.com/story/get-ready-for-the-great-ai-disappointment/ The key paragraph: Anticipation that there will be exponential improvements in productivity across the economy, or the much-vaunted first steps towards “artificial general intelligence”",
Three Possible Black Swans for AI,https://mcguinnessai.substack.com/p/three-possible-black-swans-for-ai,2024-01-03T11:01:27.487Z,2024 Might Not Go As Planned,
NY Times: Michael Cohen used Bard for Legal Research,https://mcguinnessai.substack.com/p/ny-times-michael-cohen-used-bard,2023-12-30T11:00:57.470Z,Whatever could go wrong with that?,
10+ AI Predictions for 2024,https://mcguinnessai.substack.com/p/10-ai-predictions-for-2024,2023-12-19T11:00:48.131Z,If you thought 2023 was a wild ride...,
"Not to RAG on next year, but ...",https://mcguinnessai.substack.com/p/not-to-rag-on-next-year-but,2023-12-12T11:00:35.408Z,"OpenAI Assistants, Google NotebookLM are going to change things a bit",
Google's Gemini Dreams,https://mcguinnessai.substack.com/p/googles-gemini-dreams,2023-12-09T11:00:47.856Z,... are they nightmares?,
Blabbermouth,https://mcguinnessai.substack.com/p/blabbermouth,2023-12-05T11:01:14.928Z,A research paper published on 20 November discusses how to make the new GPTs feature of OpenAI leak design details such as the system prompt and even files that were uploaded in the building of GPT. A recent article in Wired discusses this and provides some additional insights.,
"Oh My, OpenAI",https://mcguinnessai.substack.com/p/oh-my-openai,2023-11-28T11:01:21.762Z,What was the group thinking?,
"""Playing with the new ""GPTs""""",https://mcguinnessai.substack.com/p/playing-with-the-new-gpts,2023-11-17T11:01:50.277Z,It's all fun and games until the zombies attack,
OpenAI DevDay Roundup,https://mcguinnessai.substack.com/p/openai-devday-roundup,2023-11-11T11:00:49.460Z,"Move 'em out, head 'em up ...",
Finishing up ChatSF,https://mcguinnessai.substack.com/p/finishing-up-chatsf,2023-11-07T11:03:19.530Z,Events have changed things a bit!,
The Magic of Metadata,https://mcguinnessai.substack.com/p/the-magic-of-metadata,2023-11-02T10:00:50.349Z,Making our Salesforce aware Chatbot ... aware of Salesforce,
Building the Salesforce-aware ChatBot,https://mcguinnessai.substack.com/p/building-the-salesforce-aware-chatbot,2023-10-31T10:00:15.686Z,All the secrets revealed!,
GPT Knows My Opportunities,https://mcguinnessai.substack.com/p/gpt-knows-my-opportunities,2023-10-26T10:00:37.888Z,See how chats can be a lot more interesting!,
When Your Prompt Misfires,https://mcguinnessai.substack.com/p/when-your-prompt-misfires,2023-10-24T10:00:27.832Z,Varför gör den det?,
What Happens When OpenAI Goes Down?,https://mcguinnessai.substack.com/p/what-happens-when-openai-goes-down,2023-10-20T10:01:17.328Z,You might have found out yesterday,
Slack Translator Code Walk-thru,https://mcguinnessai.substack.com/p/slack-translator-code-explanation,2023-10-17T10:01:31.521Z,Some neat tricks you can learn...,
Getting the Slack Translator Bot Running,https://mcguinnessai.substack.com/p/getting-the-slack-translator-bot,2023-10-12T10:00:58.214Z,A walk through of steps,
Chatting in the Global Village,https://mcguinnessai.substack.com/p/chatting-in-the-global-village,2023-10-10T10:00:43.393Z,A Simple Slack Translation Bot,
"Everything in moderation, including moderation.",https://mcguinnessai.substack.com/p/everything-in-moderation-including,2023-10-09T10:03:52.592Z,Sometimes the users are a bit too Wilde,
Generative AI in the Wild,https://mcguinnessai.substack.com/p/generative-ai-in-the-wild,2023-10-06T22:58:38.962Z,Amazon's Assistant is ... nuts,
